path,template
/ae_ar/fragments/resources/modal/forms/achieve-content-personalization-with-adobe-experience-manager-and-adobe-analytics,Expanded Form
/ae_ar/fragments/resources/modal/forms/achieving-success-digital-consumers,Expanded Form
/ae_ar/fragments/resources/modal/forms/adobe-commerce-marketplaces-the-rising-growth-opportunity,Expanded Form
/ae_ar/fragments/resources/modal/forms/b2b-customer-journey-experiences,Expanded Form
/ae_ar/fragments/resources/modal/forms/b2b-experiences-powered-by-adobe-real-time-cdp,Expanded Form
/ae_ar/fragments/resources/modal/forms/biggest-email-mistakes-and-how-to-avoid-them,Expanded Form
/ae_ar/fragments/resources/modal/forms/change-the-world-digital-experiences,Expanded Form
/ae_ar/fragments/resources/modal/forms/changing-the-world-digital-dxperiences,Expanded Form
/ae_ar/fragments/resources/modal/forms/connect-with-experience-manager-screens,Expanded Form
/ae_ar/fragments/resources/modal/forms/deliver-personal-digital-experiences,Expanded Form
/ae_ar/fragments/resources/modal/forms/drive-growth-and-roi-with-bizible,Expanded Form
/ae_ar/fragments/resources/modal/forms/global-digital-economy-trends,Expanded Form
/ae_ar/fragments/resources/modal/forms/it-vs-marketing-conversations-you-can-use-in-your-b2b-organization,Expanded Form
/ae_ar/fragments/resources/modal/forms/mapping-the-motivations-that-matter-for-todays-consumers,Expanded Form
/ae_ar/fragments/resources/modal/forms/omni-channel-experiences-with-aem,Expanded Form
/ae_ar/fragments/resources/modal/forms/optimizing-your-content-engine,Expanded Form
/ae_ar/fragments/resources/modal/forms/power-a-new-collaborative-era,Expanded Form
/ae_ar/fragments/resources/modal/forms/preparing-for-a-world-without-cookies-2,Expanded Form
/ae_ar/fragments/resources/modal/forms/the-best-content-and-commerce-strategies,Expanded Form
/la/fragments/resources/modal/forms/composable-commerce,Expanded Form
/ar/fragments/resources/modal/forms/customer-experience-retail,Expanded Form
/ar/fragments/resources/modal/forms/mejora-la-experiencia-de-compra-con-pwa,Expanded Form
